PROSPECTID,Approved_Flag
1,P2
2,P2
3,P2
4,P2
5,P1
6,P3
7,P1
8,P2
9,P4
10,P1
11,P2
12,P2
13,P2
14,P2
15,P2
16,P4
17,P2
18,P2
19,P2
20,P1
21,P2
22,P2
23,P2
24,P2
25,P3
26,P2
27,P3
28,P2
29,P1
30,P2
31,P2
32,P4
33,P2
34,P3
35,P2
36,P2
37,P2
38,P1
39,P4
40,P2
41,P2
42,P3
43,P2
44,P3
45,P3
46,P4
47,P2
48,P4
49,P3
50,P2
51,P2
52,P3
53,P3
54,P4
55,P4
56,P2
57,P2
58,P2
59,P2
60,P2
61,P2
62,P2
63,P2
64,P2
65,P2
66,P2
67,P2
68,P2
69,P2
70,P2
71,P4
72,P1
73,P2
74,P2
75,P1
76,P2
77,P2
78,P2
79,P2
80,P2
81,P2
82,P2
83,P2
84,P4
85,P2
86,P3
87,P2
88,P2
89,P2
90,P4
91,P2
92,P2
93,P2
94,P2
95,P2
96,P2
97,P2
98,P2
99,P1
100,P2
101,P3
102,P3
103,P3
104,P3
105,P2
106,P1
107,P2
108,P2
109,P2
110,P3
111,P2
112,P2
113,P2
114,P3
115,P4
116,P2
117,P3
118,P2
119,P2
120,P2
121,P2
122,P2
123,P2
124,P2
125,P1
126,P2
127,P2
128,P2
129,P3
130,P4
131,P2
132,P2
133,P2
134,P4
135,P4
136,P2
137,P3
138,P2
139,P4
140,P2
141,P2
142,P1
143,P2
144,P1
145,P1
146,P4
147,P2
148,P2
149,P2
150,P2
151,P2
152,P2
153,P2
154,P2
155,P3
156,P2
157,P1
158,P2
159,P1
160,P3
161,P1
162,P2
163,P1
164,P2
165,P3
166,P3
167,P2
168,P2
169,P1
170,P2
171,P4
172,P2
173,P2
174,P2
175,P2
176,P2
177,P2
178,P2
179,P4
180,P2
181,P2
182,P2
183,P2
184,P2
185,P2
186,P2
187,P2
188,P2
189,P2
190,P3
191,P1
192,P2
193,P4
194,P2
195,P2
196,P2
197,P1
198,P1
199,P2
200,P4
201,P3
202,P2
203,P2
204,P4
205,P2
206,P3
207,P2
208,P2
209,P3
210,P2
211,P2
212,P3
213,P2
214,P2
215,P2
216,P2
217,P1
218,P4
219,P3
220,P2
221,P2
222,P3
223,P2
224,P2
225,P2
226,P4
227,P2
228,P2
229,P1
230,P3
231,P2
232,P2
233,P2
234,P2
235,P2
236,P2
237,P2
238,P1
239,P3
240,P2
241,P4
242,P3
243,P2
244,P1
245,P2
246,P2
247,P4
248,P2
249,P1
250,P1
251,P2
252,P2
253,P2
254,P2
255,P4
256,P2
257,P2
258,P4
259,P3
260,P2
261,P2
262,P1
263,P3
264,P4
265,P2
266,P2
267,P2
268,P2
269,P2
270,P1
271,P2
272,P2
273,P3
274,P2
275,P2
276,P2
277,P3
278,P3
279,P2
280,P4
281,P2
282,P2
283,P2
284,P2
285,P3
286,P4
287,P1
288,P2
289,P2
290,P2
291,P2
292,P3
293,P3
294,P2
295,P2
296,P4
297,P2
298,P4
299,P2
300,P2
301,P2
302,P4
303,P1
304,P4
305,P2
306,P2
307,P2
308,P2
309,P2
310,P2
311,P2
312,P2
313,P2
314,P1
315,P2
316,P4
317,P2
318,P2
319,P3
320,P1
321,P4
322,P3
323,P2
324,P1
325,P2
326,P2
327,P4
328,P4
329,P2
330,P3
331,P2
332,P1
333,P2
334,P2
335,P1
336,P2
337,P4
338,P2
339,P2
340,P2
341,P2
342,P2
343,P2
344,P2
345,P2
346,P4
347,P2
348,P1
349,P3
350,P2
351,P4
352,P2
353,P3
354,P1
355,P1
356,P2
357,P3
358,P2
359,P2
360,P1
361,P2
362,P1
363,P4
364,P2
365,P2
366,P2
367,P3
368,P4
369,P2
370,P1
371,P1
372,P2
373,P2
374,P3
375,P4
376,P2
377,P2
378,P3
379,P2
380,P3
381,P2
382,P3
383,P4
384,P2
385,P4
386,P1
387,P3
388,P2
389,P3
390,P2
391,P2
392,P4
393,P3
394,P2
395,P2
396,P4
397,P2
398,P1
399,P2
400,P2
401,P3
402,P4
403,P2
404,P4
405,P3
406,P1
407,P2
408,P2
409,P2
410,P4
411,P2
412,P2
413,P2
414,P2
415,P2
416,P1
417,P1
418,P2
419,P3
420,P2
421,P1
422,P1
423,P3
424,P2
425,P4
426,P3
427,P3
428,P3
429,P2
430,P1
431,P4
432,P4
433,P2
434,P2
435,P2
436,P4
437,P2
438,P2
439,P2
440,P3
441,P2
442,P2
443,P4
444,P2
445,P2
446,P3
447,P2
448,P1
449,P2
450,P1
451,P4
452,P4
453,P2
454,P2
455,P3
456,P2
457,P2
458,P4
459,P3
460,P2
461,P2
462,P4
463,P2
464,P2
465,P3
466,P4
467,P3
468,P2
469,P2
470,P4
471,P2
472,P2
473,P4
474,P1
475,P2
476,P2
477,P3
478,P4
479,P3
480,P2
481,P2
482,P2
483,P3
484,P2
485,P1
486,P2
487,P3
488,P2
489,P2
490,P1
491,P2
492,P2
493,P3
494,P3
495,P2
496,P2
497,P1
498,P2
499,P2
500,P2
501,P4
502,P2
503,P2
504,P3
505,P2
506,P3
507,P2
508,P2
509,P2
510,P3
511,P2
512,P2
513,P4
514,P2
515,P4
516,P4
517,P2
518,P2
519,P2
520,P2
521,P2
522,P4
523,P1
524,P2
525,P4
526,P2
527,P2
528,P2
529,P3
530,P2
531,P2
532,P2
533,P2
534,P2
535,P2
536,P2
537,P2
538,P2
539,P4
540,P2
541,P3
542,P2
543,P2
544,P2
545,P4
546,P4
547,P1
548,P2
549,P1
550,P1
551,P2
552,P3
553,P3
554,P2
555,P2
556,P1
557,P2
558,P3
559,P4
560,P2
561,P2
562,P2
563,P2
564,P2
565,P2
566,P2
567,P4
568,P2
569,P2
570,P2
571,P2
572,P3
573,P2
574,P2
575,P2
576,P2
577,P1
578,P4
579,P2
580,P2
581,P2
582,P2
583,P4
584,P2
585,P2
586,P2
587,P2
588,P2
589,P2
590,P1
591,P2
592,P3
593,P2
594,P2
595,P2
596,P1
597,P3
598,P1
599,P2
600,P2
601,P2
602,P2
603,P4
604,P1
605,P3
606,P2
607,P4
608,P2
609,P3
610,P3
611,P2
612,P1
613,P1
614,P2
615,P4
616,P2
617,P2
618,P2
619,P2
620,P2
621,P2
622,P4
623,P2
624,P2
625,P3
626,P2
627,P2
628,P2
629,P3
630,P2
631,P1
632,P2
633,P2
634,P2
635,P2
636,P2
637,P2
638,P2
639,P2
640,P2
641,P2
642,P2
643,P3
644,P2
645,P3
646,P2
647,P1
648,P1
649,P3
650,P2
651,P3
652,P4
653,P3
654,P2
655,P2
656,P3
657,P1
658,P3
659,P2
660,P2
661,P2
662,P2
663,P2
664,P2
665,P3
666,P2
667,P3
668,P2
669,P1
670,P4
671,P2
672,P2
673,P4
674,P4
675,P4
676,P2
677,P2
678,P2
679,P1
680,P3
681,P2
682,P1
683,P2
684,P2
685,P2
686,P1
687,P1
688,P3
689,P2
690,P2
691,P2
692,P2
693,P2
694,P1
695,P2
696,P2
697,P2
698,P1
699,P1
700,P2
701,P2
702,P3
703,P2
704,P2
705,P3
706,P2
707,P2
708,P2
709,P2
710,P4
711,P3
712,P2
713,P2
714,P2
715,P4
716,P2
717,P2
718,P2
719,P2
720,P2
721,P1
722,P1
723,P2
724,P2
725,P2
726,P2
727,P2
728,P2
729,P4
730,P3
731,P2
732,P2
733,P2
734,P4
735,P2
736,P2
737,P4
738,P3
739,P1
740,P2
741,P2
742,P1
743,P2
744,P2
745,P2
746,P2
747,P2
748,P2
749,P2
750,P1
751,P2
752,P3
753,P2
754,P2
755,P2
756,P2
757,P2
758,P4
759,P1
760,P2
761,P4
762,P3
763,P2
764,P3
765,P2
766,P4
767,P2
768,P2
769,P3
770,P1
771,P3
772,P2
773,P3
774,P2
775,P2
776,P3
777,P2
778,P3
779,P3
780,P2
781,P2
782,P1
783,P2
784,P4
785,P2
786,P4
787,P2
788,P2
789,P2
790,P2
791,P1
792,P2
793,P2
794,P3
795,P2
796,P2
797,P2
798,P3
799,P2
800,P2
801,P2
802,P2
803,P2
804,P2
805,P2
806,P2
807,P2
808,P2
809,P2
810,P1
811,P4
812,P4
813,P2
814,P2
815,P4
816,P2
817,P2
818,P2
819,P2
820,P2
821,P2
