PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
1,5,4,1,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,1,0,4,1,4,0,72,18
2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,7,7
3,8,0,8,1,0,0.125,0,1,0,2,0,0.25,0,1,1,0,6,1,0,0,2,6,0,47,2
4,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,5,5
5,3,2,1,0,0,0,0,0.333,0.667,0,0,0,0,0,1,0,0,0,0,0,3,0,2,131,32
6,6,5,1,0,0,0,0,0.167,0.833,0,1,0,0.167,0,4,0,0,2,0,0,6,0,0,150,17
7,3,1,2,1,1,0.333,0.333,0.667,0.333,2,1,0.667,0.333,1,0,0,0,3,0,0,3,0,0,17,5
8,6,4,2,0,0,0,0,0.333,0.667,1,2,0.167,0.333,0,1,0,0,0,0,0,6,0,5,36,8
9,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,16
10,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,66,39
11,7,2,5,1,0,0.143,0,0.714,0.286,3,1,0.429,0.143,0,2,1,2,0,0,2,2,5,0,64,5
12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,96,96
13,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,49,49
14,2,1,1,1,0,0.5,0,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,16,5
15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,38,38
16,8,1,7,7,1,0.875,0.125,0.875,0.125,8,1,1,0.125,2,1,1,5,0,0,0,1,7,1,9,1
17,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,7,7
18,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,6,6
19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,110,110
20,7,5,2,1,0,0.143,0,0.286,0.714,1,1,0.143,0.143,0,0,0,0,2,0,0,5,2,5,138,3
21,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,8,8
22,5,2,3,0,1,0,0.2,0.6,0.4,2,1,0.4,0.2,1,3,0,1,0,0,1,3,2,0,92,10
23,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,40,40
24,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,11,11
25,3,1,2,0,0,0,0,0.667,0.333,1,1,0.333,0.333,0,0,0,0,0,0,0,1,2,3,51,10
26,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17,17
27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,59,59
28,11,6,5,1,1,0.091,0.091,0.455,0.545,3,1,0.273,0.091,2,1,0,1,8,0,0,9,2,1,37,3
29,42,34,8,2,2,0.048,0.048,0.19,0.81,5,3,0.119,0.071,3,0,0,0,26,1,0,35,7,15,159,4
30,3,0,3,2,0,0.667,0,1,0,3,0,1,0,2,0,0,2,0,0,0,0,3,1,10,2
31,10,2,8,3,0,0.3,0,0.8,0.2,5,2,0.5,0.2,2,3,1,2,0,2,0,5,5,2,38,2
32,4,1,3,2,0,0.5,0,0.75,0.25,3,0,0.75,0,0,2,0,2,0,0,0,2,2,0,47,2
